kimi version 0.39.1
• Let me do the startup recovery reads.

• 我先做启动恢复，读取三份必读文件。

• The last 20 lines read. The startup reminder says to read .kdo/CAPSULE_STARTUP.md, but the task says "启动恢复（必做）" with the three files. I did the three. Per startup, also should check cron doorbell. But priority: claim #613.

  Task: 领取施工 #613（#586 批 reviewed_by=pending 元数据残留排查补齐）. yaml.safe_load parsing, no regex (E017).

  First find the task file. Let me look for task_...613... in 70_product/tasks/. Also read the queue. Let me proceed.

• 启动恢复已完成。现在查找 #613 任务单并确认队列状态。队列总任务数: 196
queued: 2
claimed: 0
pending_review: 0


• Now claim #613. First check queue status - it shows 2 queued. Queue discipline: cannot claim if there's pending_review ahead. status shows pending_review: 0, claimed: 0, so fine. Claim #613.

• 任务单规格清楚。先领取 #613。任务 613 不在生产队列中


✅ task_20260902_laowantong-586batch-reviewedby-residue-fix 已领取为 claimed-laowantong-kimi

✅ dashboard.html 已生成 (196 个任务)
   待领取: 0  |  审查中: 0  |  进行中: 2  |  已完成: 194
• Claimed. Now the task:

  1. Scan 30_wiki for cards with `status: reviewed` and `reviewed_by: pending` (or missing reviewed_by/review_date), using yaml.safe_load (no regex for frontmatter parsing).
  2. For cards with evidence of real review (#586 batch or others with commit/task evidence), fix reviewed_by: 欧阳锋 + review_date (from git log). For cards without evidence, don't change, list separately.
  3. Only touch frontmatter three fields.

  Write a Python script that:
  - Walks 30_wiki/**/*.md
  - Extracts frontmatter via yaml.safe_load (split on --- delimiters is fine, but parsing must be yaml, not regex extracting values)
  - Collects cards where status==reviewed and (reviewed_by missing or =='pending' or review_date missing)

  Then for each, find evidence: git log of the file for review commits? The #586 batch — task_20260901_laowantong-candy-collection-batch. #586 PASS per todos. Actually review evidence: the queue / task file review records. Let me first write and run the scan.

  Note mixed CRLF files. Frontmatter parsing: read file, check startswith '---', find next '---' line, yaml.safe_load the block.

  Let me write the scan script in _tmp.

• 领取成功。现在写排查脚本（yaml.safe_load 解析，禁正则扫 frontmatter）。

扫描文件数: 2949
YAML/读取错误数: 2
  ERROR C:\Users\Administrator\Desktop\wiki\30_wiki\dark-knowledges\dk-digest-registration-gap.md: yaml: while parsing a block mapping
  in "<unicode string>", line 33, column 3:
    - signal: 卡文件存在（ls 能看见）但 grep 不到任何 ... 
      ^
expected <block end>, but found '<scalar>'
  in "<unicode string>", line 35, column 20:
      implication: "存在"不等于"注册"——2026-08-23 周检实测 12 张核心卡 ... 
                       ^
  ERROR C:\Users\Administrator\Desktop\wiki\30_wiki\_archive\plan_20260531_data-curator-v1.1.md: yaml: while parsing a block mapping
  in "<unicode string>", line 2, column 1:
    id: plan_20260531_data-curator-v1.1
    ^
expected <block end>, but found '-'
  in "<unicode string>", line 14, column 1:
    - src_20260531_ai-data-understanding
    ^
命中卡数: 530
- 30_wiki\agent-specs\agent-spec-fengqingyang-observer.md | id=agent-spec-fengqingyang-observer | type=agent-spec | author=laowantong | reviewed_by=待审 | review_date=<missing> | updated_at=2026-08-23
- 30_wiki\cases\case-decision-science-topcity-negative-revenue-rank.md | id=case-decision-science-topcity-negative-revenue-rank | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-decision-science-universal-salary-raise-roi.md | id=case-decision-science-universal-salary-raise-roi | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-ji-hao-ai-workspace-chaos.md | id=case-ji-hao-ai-workspace-chaos | type=case | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-ji-hao-skills-market.md | id=case-ji-hao-skills-market | type=case | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\cases\case-ji-hao-ui-design-constraint-evolution.md | id=case-ji-hao-ui-design-constraint-evolution | type=case | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\cases\case-jovida-ai-life-coach.md | id=case-jovida-ai-life-coach | type=case | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\cases\case-lean-adult-education.md | id=case-lean-adult-education | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-combination-test-paradigm.md | id=case-lean-combination-test-paradigm | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-crayfish-combo-test.md | id=case-lean-crayfish-combo-test | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-electric-scooter-mvp.md | id=case-lean-electric-scooter-mvp | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-genki-forest-toolkit.md | id=case-lean-genki-forest-toolkit | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-gray-test-paradigm.md | id=case-lean-gray-test-paradigm | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\cases\case-lean-radish-channel-selection.md | id=case-lean-radish-channel-selection | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-shampoo-selling-points.md | id=case-lean-shampoo-selling-points | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-wrong-demand.md | id=case-lean-wrong-demand | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-zhanglei-failure-counterfactual.md | id=case-lean-zhanglei-failure-counterfactual | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-zhanglei-hypothesis-validation.md | id=case-lean-zhanglei-hypothesis-validation | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-lean-zhanglei-pivot-decision.md | id=case-lean-zhanglei-pivot-decision | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-live81-ai-trademark-design.md | id=case-live81-ai-trademark-design | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\cases\case-meeting-roi-awakening.md | id=case-meeting-roi-awakening | type=case | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\cases\case-meeting-scene-mastery.md | id=case-meeting-scene-mastery | type=case | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\cases\case-opc-agent-wave1-real-model-testing.md | id=case-opc-agent-wave1-real-model-testing | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-03
- 30_wiki\cases\case-panproduct-top135-selection-polish.md | id=case-panproduct-top135-selection-polish | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-panproduct-yitao-project-background.md | id=case-panproduct-yitao-project-background | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-qinpeng-iot-module-tiering.md | id=case-qinpeng-iot-module-tiering | type=case | author=老顽童 | reviewed_by=待审 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\cases\case-shampoo-product-kernel.md | id=case-shampoo-product-kernel | type=case | author=老顽童（合并升级） | reviewed_by=待审 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\cases\case-strategy-cool-boiled-water.md | id=case-strategy-cool-boiled-water | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-strategy-edward-jones.md | id=case-strategy-edward-jones | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-strategy-exit-remove.md | id=case-strategy-exit-remove | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-strategy-exit-sell.md | id=case-strategy-exit-sell | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-strategy-failure-01-cosmetics.md | id=case-strategy-failure-01-cosmetics | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-strategy-failure-02-supermarket.md | id=case-strategy-failure-02-supermarket | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-strategy-failure-03-cleaning.md | id=case-strategy-failure-03-cleaning | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-strategy-practice-ranpeng-crossborder.md | id=case-strategy-practice-ranpeng-crossborder | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-truman-prd-checklist-evolution.md | id=case-truman-prd-checklist-evolution | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-truman-sales-report-structure.md | id=case-truman-sales-report-structure | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-unit-model-gashapon.md | id=case-unit-model-gashapon | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-wanghuan-education-sales-capability-extraction.md | id=case-wanghuan-education-sales-capability-extraction | type=case | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\cases\case-wanghuan-education-sales-paced.md | id=case-wanghuan-education-sales-paced | type=case | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\cases\case-wanghuan-shenyang-software-3x-efficiency.md | id=case-wanghuan-shenyang-software-3x-efficiency | type=case | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\cases\case-wanghuan-yiyu-qingji-medical-notes.md | id=case-wanghuan-yiyu-qingji-medical-notes | type=case | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\cases\case-yitang-chuanhe-seasoning-kernel.md | id=case-yitang-chuanhe-seasoning-kernel | type=case | author=老顽童 | reviewed_by=待审 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\cases\case-yitang-double-triangle-confidence.md | id=case-yitang-double-triangle-confidence | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\cases\case-yitang-sales-transformation-jubensha-saas.md | id=case-yitang-sales-transformation-jubensha-saas | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\cases\case-yitang-sales-transformation-meirongyuan.md | id=case-yitang-sales-transformation-meirongyuan | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\cases\case-yitang-sales-transformation-tuliaogongsi.md | id=case-yitang-sales-transformation-tuliaogongsi | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\cases\case-yitang-Y-model-seven-applications.md | id=case-yitang-Y-model-seven-applications | type=case | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-03
- 30_wiki\cases\case-yitang-zhongzheng-parking-garage.md | id=case-yitang-zhongzheng-parking-garage | type=case | author=老顽童 | reviewed_by=待审 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\cases\case-纪浩-from-zip-to-five-layers.md | id=case-纪浩-from-zip-to-five-layers | type=case | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\concepts\2026-05-17-深夜感想.md | id=2026-05-17-深夜感想 | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\ai-collaboration-mindset-shift.md | id=ai-collaboration-mindset-shift | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\concepts\ai-landing-scene-selection.md | id=ai-landing-scene-selection | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\ai-learning-closed-loop.md | id=ai-learning-closed-loop | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\ai-native-五层进阶从答案到效率到作品到产品到系统.md | id=ai-native-五层进阶从答案到效率到作品到产品到系统 | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\ai-俱乐部人和-ai-协作-五层结构.md | id=ai-俱乐部人和-ai-协作-五层结构 | type=concept | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\ai-俱乐部人和-ai-协作-参考案例对比一堂-vs-sql-helper.md | id=ai-俱乐部人和-ai-协作-参考案例对比一堂-vs-sql-helper | type=concept | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-09T14:22:37+00:00
- 30_wiki\concepts\aima-ai思维卡-外部链接归档.md | id=aima-ai思维卡-外部链接归档 | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\ai时代判断力口述.md | id=ai时代判断力口述 | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\anthropic-官方发布创始人手册打造-ai-原生初创公司.md | id=anthropic-官方发布创始人手册打造-ai-原生初创公司 | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-16
- 30_wiki\concepts\concept-abundance-paradox.md | id=concept-abundance-paradox | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-01T00:00:00+00:00
- 30_wiki\concepts\concept-agent-as-token-consumer.md | id=concept-agent-as-token-consumer | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-26
- 30_wiki\concepts\concept-agent-university.md | id=concept-agent-university | type=concept | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\concepts\concept-ai-native-organization-five-steps.md | id=concept-ai-native-organization-five-steps | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\concept-brooks-three-lies-culture.md | id=concept-brooks-three-lies-culture | type=concept | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\concepts\concept-cognitive-offloading-in-ai-era.md | id=concept-cognitive-offloading-in-ai-era | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\concepts\concept-jevons-paradox-in-ai.md | id=concept-jevons-paradox-in-ai | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\concepts\concept-ji-hao-ai-collaboration-methodology.md | id=concept-ji-hao-ai-collaboration-methodology | type=concept | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\concepts\concept-kdo-agent-design-principles.md | id=concept-kdo-agent-design-principles | type=concept | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-26
- 30_wiki\concepts\concept-kdo-agent-four-level-awareness.md | id=concept-kdo-agent-four-level-awareness | type=concept | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-26
- 30_wiki\concepts\concept-kdo-component-library.md | id=concept-kdo-component-library | type=concept | author=黄药师 | reviewed_by=黄药师 | review_date=<missing> | updated_at=2026-07-19
- 30_wiki\concepts\concept-mckinsey-issue-tree.md | id=concept-mckinsey-issue-tree | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\concept-mckinsey-mece.md | id=concept-mckinsey-mece | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\concept-token-capital.md | id=concept-token-capital | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\concepts\concept-token-per-watt.md | id=concept-token-per-watt | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-26
- 30_wiki\concepts\concept-wanghuan-adversarial-generation.md | id=concept-wanghuan-adversarial-generation | type=concept | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\concepts\concept-wanghuan-ai-native-definition.md | id=concept-wanghuan-ai-native-definition | type=concept | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\concepts\concept-wanghuan-flywheel-first-loop.md | id=concept-wanghuan-flywheel-first-loop | type=concept | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\concepts\concept-wanghuan-power-of-standards.md | id=concept-wanghuan-power-of-standards | type=concept | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\concepts\concept-wanghuan-tacit-knowledge-examples.md | id=concept-wanghuan-tacit-knowledge-examples | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\concepts\concept-半肥猫-ai-learning-toolification-methodology.md | id=concept-半肥猫-ai-learning-toolification-methodology | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\concepts\concept-单元模型-学练用.md | id=concept-单元模型-学练用 | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\concept-提升笔记阅读舒适度.md | id=concept-提升笔记阅读舒适度 | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\concept-科学决策宽度.md | id=concept-科学决策宽度 | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\concept-纪浩-ai-collaboration-five-layer.md | id=concept-纪浩-ai-collaboration-five-layer | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\concept-问题驱动式深度思考笔记.md | id=concept-问题驱动式深度思考笔记 | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\contingency-decision-making.md | id=contingency-decision-making | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\course-to-skill-conversion.md | id=course-to-skill-conversion | type=tool | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\deepseek-v4-在知识管理系统中的应用.md | id=deepseek-v4-在知识管理系统中的应用 | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\design-ai-image-generation.md | id=design-ai-image-generation | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\EC工业化规范手册.md | id=EC工业化规范手册 | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-05-03
- 30_wiki\concepts\find-old-do-small.md | id=find-old-do-small | type=tool | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\HIS系统开发实现方案-架构师指南.md | id=HIS系统开发实现方案-架构师指南 | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-05-03
- 30_wiki\concepts\kdo-flywheel.md | id=kdo-flywheel | type=concept | author=黄药师 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-16
- 30_wiki\concepts\kdo-yaml-frontmatter-safety.md | id=kdo-yaml-frontmatter-safety | type=concept | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\concepts\kdo_product_design_agent_final.md | id=kdo_product_design_agent_final | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-05-03
- 30_wiki\concepts\kimi-深度调研集群方法论-deep-research-swarm.md | id=kimi-深度调研集群方法论-deep-research-swarm | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-05-04
- 30_wiki\concepts\knowledge-delivery-os-快速体验指南-飞书云文档.md | id=knowledge-delivery-os-快速体验指南-飞书云文档 | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-05-04
- 30_wiki\concepts\learning-thinking.md | id=learning-thinking | type=concept | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\concepts\prd-as-ai-instruction.md | id=prd-as-ai-instruction | type=tool | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
