30_wiki\bridges\bridge-coaching-leadership-feature-layered.md	yitang,management,coaching,ai-collaboration
30_wiki\cases\case-ji-hao-skill-market-problem-validation.md	ai-collaboration,yitang
30_wiki\cases\case-ji-hao-ui-design-constraint-evolution.md	ai-collaboration,yitang
30_wiki\cases\case-kdo-agent-factory-dual-triangle-practice.md	yitang,ai-saas,personal-os
30_wiki\cases\case-laozhu-hongqigong-human-ai-partner-evolution.md	yitang,ai-collaboration,personal-os,organizational-transformation
30_wiki\cases\case-leadership-communication-failures.md	yitang,management,coaching
30_wiki\cases\case-lean-2b-gray-test.md	strategy,yitang,product
30_wiki\cases\case-lean-adult-education.md	lean-startup,yitang
30_wiki\cases\case-lean-building-in-vacuum.md	strategy,yitang,product
30_wiki\cases\case-lean-combination-test-paradigm.md	lean-startup,yitang
30_wiki\cases\case-lean-crayfish-combo-test.md	lean-startup,yitang
30_wiki\cases\case-lean-electric-scooter-mvp.md	strategy,yitang,product
30_wiki\cases\case-lean-genki-forest-toolkit.md	strategy,yitang,product
30_wiki\cases\case-lean-gray-test-paradigm.md	lean-startup,yitang
30_wiki\cases\case-lean-medical-device-milestone.md	strategy,yitang,product
30_wiki\cases\case-lean-perfectionism-traps.md	strategy,yitang,product
30_wiki\cases\case-lean-premature-expansion.md	strategy,yitang,product
30_wiki\cases\case-lean-premature-refinement.md	strategy,yitang,product
30_wiki\cases\case-lean-radish-channel-selection.md	lean-startup,yitang
30_wiki\cases\case-lean-shampoo-selling-points.md	lean-startup,yitang
30_wiki\cases\case-lean-shoe-mvp-evolution.md	strategy,yitang,product
30_wiki\cases\case-lean-weak-solution.md	strategy,yitang,product
30_wiki\cases\case-lean-wrong-demand.md	strategy,yitang,product
30_wiki\cases\case-lean-zhanglei-failure-counterfactual.md	lean-startup,yitang
30_wiki\cases\case-lean-zhanglei-hypothesis-validation.md	lean-startup,yitang
30_wiki\cases\case-lean-zhanglei-pivot-decision.md	lean-startup,yitang
30_wiki\cases\case-liutao-douyin-team-leader-9m.md	yitang,research
30_wiki\cases\case-liutao-electric-bike-localization.md	yitang,research
30_wiki\cases\case-live81-ai-trademark-design.md	design,ai-collaboration,yitang
30_wiki\cases\case-meeting-roi-awakening.md	yitang,management
30_wiki\cases\case-meeting-scene-mastery.md	yitang,management
30_wiki\cases\case-milktea-five-step.md	product,yitang
30_wiki\cases\case-modeling-abstraction-reliability-ladder.md	yitang,master,modeling
30_wiki\cases\case-morfei-semiconductor.md	yitang,management,coaching
30_wiki\cases\case-neworiental-prospectus-marketing.md	yitang,research
30_wiki\cases\case-nine-pm-livestream-survey.md	yitang,modeling,user-research
30_wiki\cases\case-offline-catering-formula.md	yitang,business-strategy
30_wiki\cases\case-opc-agent-wave1-real-model-testing.md	ai-collaboration,sales,yitang
30_wiki\cases\case-panproduct-lanyi-dahanghui-team.md	panproduct,organization,yitang
30_wiki\cases\case-panproduct-lanyi-intern-flywheel.md	panproduct,organization,yitang,talent
30_wiki\cases\case-panproduct-lanyi-shidonghui-npc.md	panproduct,organization,yitang
30_wiki\cases\case-panproduct-top135-selection-polish.md	product,design,yitang
30_wiki\cases\case-panproduct-yitao-project-background.md	product,design,yitang
30_wiki\cases\case-popmart-prospectus-pricing.md	yitang,research
30_wiki\cases\case-private-domain-ecommerce-formula.md	yitang,e-commerce,business-strategy
30_wiki\cases\case-proya-betaine-skincare-benchmark.md	yitang,research
30_wiki\cases\case-qinpeng-iot-module-tiering.md	yitang,product-kernel
30_wiki\cases\case-saas-renewal-formula.md	yitang,ai-saas,business-strategy
30_wiki\cases\case-shampoo-product-kernel.md	yitang,product-kernel
30_wiki\cases\case-strategy-exit-remove.md	strategy,yitang
30_wiki\cases\case-strategy-exit-sell.md	strategy,yitang
30_wiki\cases\case-toc-content-platform-correlation-trap.md	yitang,content,business-strategy
30_wiki\cases\case-toc-ecommerce-formula-misjudgment.md	yitang,e-commerce,business-strategy
30_wiki\cases\case-toc-online-education-trust-metrics.md	yitang,business-strategy,e-commerce
30_wiki\cases\case-treadmill-demand-analysis.md	product,yitang
30_wiki\cases\case-truman-meeting-leadership.md	yitang,management
30_wiki\cases\case-truman-praise-wall-precondition.md	yitang,time-management
30_wiki\cases\case-truman-shower-toilet-ideation.md	yitang,time-management
30_wiki\cases\case-truman-time-management-commute-experiment.md	time-management,personal-productivity,yitang
30_wiki\cases\case-xian-franchise-location-decision.md	yitang,research
30_wiki\cases\case-yihang-dual-triangle-D-engineer-upward-communication.md	yitang,ai-collaboration,communication,organizational-politics
30_wiki\cases\case-yihang-dual-triangle-ahao-product-selection.md	yitang,ai-collaboration,e-commerce,operations
30_wiki\cases\case-yihang-dual-triangle-ai-organizational-behavior.md	ai-collaboration,yitang
30_wiki\cases\case-yihang-dual-triangle-beike-ai-outbound.md	yitang,ai-collaboration,real-estate,call-center,organizational-transformation
30_wiki\cases\case-yihang-dual-triangle-canvas-thesis-review.md	ai-collaboration,yitang
30_wiki\cases\case-yihang-dual-triangle-canvas-trademark-design.md	ai-collaboration,yitang
30_wiki\cases\case-yihang-dual-triangle-chentian-knowledge-agent.md	yitang,ai-collaboration,personal-knowledge-management,multi-agent
30_wiki\cases\case-yihang-dual-triangle-guoshuai-ai-editorial.md	ai-collaboration,yitang
30_wiki\cases\case-yihang-dual-triangle-hardware-patent-rule-explicit.md	yitang,ai-collaboration,r-and-d,patent,organizational-transformation
30_wiki\cases\case-yihang-dual-triangle-hotel-tag-sandbox.md	yitang,ai-collaboration,hospitality,content-moderation,organizational-transformation
30_wiki\cases\case-yihang-dual-triangle-huazao-synthetic-data.md	yitang,ai-collaboration,industrial-ai,research
30_wiki\cases\case-yihang-dual-triangle-jumi-canvas-demo.md	ai-collaboration,yitang
30_wiki\cases\case-yihang-dual-triangle-kunte-virtual-idol.md	ai-collaboration,yitang
30_wiki\cases\case-yihang-dual-triangle-tanzhaichao-ai-growth.md	ai-collaboration,yitang
30_wiki\cases\case-yihang-dual-triangle-tianmo-design-delivery.md	yitang,ai-collaboration,design,interior-design
30_wiki\cases\case-yihang-dual-triangle-truman-feishu-to-slide-ppt-evolution.md	yitang,ai-collaboration,productivity,presentation
30_wiki\cases\case-yitang-200th-launch-depth-split.md	yitang,time-management
30_wiki\cases\case-yitang-2022-annual-lessons.md	yitang,management
30_wiki\cases\case-yitang-Y-model-advertising-turnaround.md	epistemic-foundations,marketing,yitang
30_wiki\cases\case-yitang-Y-model-seven-applications.md	epistemic-foundations,yitang
30_wiki\cases\case-yitang-ai-outbound-roi-model.md	yitang,ai-collaboration
30_wiki\cases\case-yitang-ai-painting-commercialization.md	yitang,personal-growth,ai-collaboration
30_wiki\cases\case-yitang-ai-time-management-coach.md	yitang,research,ai-collaboration
30_wiki\cases\case-yitang-amazon-growth-flywheel.md	yitang,growth,strategy
30_wiki\cases\case-yitang-beauty-device-overseas-sales.md	yitang,research
30_wiki\cases\case-yitang-burger-franchise-key-path.md	yitang,business-strategy
30_wiki\cases\case-yitang-chuanhe-seasoning-kernel.md	yitang,product-kernel
30_wiki\cases\case-yitang-competitor-pricing-intelligence.md	yitang,research
30_wiki\cases\case-yitang-consumer-offline-channel-decision.md	yitang,research
30_wiki\cases\case-yitang-copywriting-time-decomposition.md	time-management,marketing,yitang
30_wiki\cases\case-yitang-county-led-wrong-analogy.md	yitang,decision-science
30_wiki\cases\case-yitang-curtain-listening.md	yitang,time-management
30_wiki\cases\case-yitang-dongyuan-dance-retention-c-vs-d.md	yitang,business-strategy
30_wiki\cases\case-yitang-doorstep-nail-service-context.md	yitang,research
30_wiki\cases\case-yitang-doorstep-pet-feeding-trust.md	yitang,research
30_wiki\cases\case-yitang-du-kids-education-sabc.md	yitang,business-formula
30_wiki\cases\case-yitang-education-supply-chain.md	yitang,modeling,education
30_wiki\cases\case-yitang-elderly-home-roleplay.md	yitang,research
30_wiki\cases\case-yitang-fake-interview-intelligence.md	yitang,research
30_wiki\cases\case-yitang-false-causality-collection.md	yitang,business-formula
30_wiki\cases\case-yitang-farm-machinery-matching.md	yitang,business-strategy
30_wiki\cases\case-yitang-fupanying-five-years-1000-hypotheses.md	yitang,business-formula
30_wiki\cases\case-yitang-goat-milk-channel-partnership.md	yitang,growth,strategy
30_wiki\cases\case-yitang-hardware-factory-photo.md	yitang,research
30_wiki\cases\case-yitang-headhunting-internet-scale.md	yitang,decision-science
30_wiki\cases\case-yitang-homestay-reception-design.md	yitang,research
30_wiki\cases\case-yitang-homework-six-owners.md	yitang,business-formula
30_wiki\cases\case-yitang-innovative-metrics-collection.md	yitang,business-formula
30_wiki\cases\case-yitang-jtbd-story-formula.md	yitang,research
30_wiki\cases\case-yitang-laowenqi-huixiao-10x.md	yitang,business-formula
30_wiki\cases\case-yitang-leadership-culture.md	yitang,management,coaching
30_wiki\cases\case-yitang-leo-website-redesign.md	yitang,management
30_wiki\cases\case-yitang-lianjia-site-selection-industrialization.md	yitang,growth,operations
30_wiki\cases\case-yitang-live-commerce-scale-misjudgment.md	yitang,decision-science
30_wiki\cases\case-yitang-luckin-field-research.md	yitang,research
30_wiki\cases\case-yitang-magic-number-collection.md	yitang,business-formula
30_wiki\cases\case-yitang-mahjong-machine-fake-order.md	yitang,research
30_wiki\cases\case-yitang-maiyi-cloud-computer-channel.md	yitang,growth,b2b
30_wiki\cases\case-yitang-marathon-ten-seasons.md	yitang,business-formula
30_wiki\cases\case-yitang-meeting-room-match.md	yitang,time-management
30_wiki\cases\case-yitang-meituan-red-dot.md	yitang,business-strategy,ai-saas
30_wiki\cases\case-yitang-model-valuation-flywheel.md	yitang,组织激励,模型质量管理
30_wiki\cases\case-yitang-mvp-reward-interview-waste.md	yitang,research
30_wiki\cases\case-yitang-novel-app-flywheel.md	yitang,growth
30_wiki\cases\case-yitang-online-education-expansion.md	yitang,decision-science
30_wiki\cases\case-yitang-panhonghai-entertainment.md	yitang,business-formula
30_wiki\cases\case-yitang-pet-fostering-user-research.md	yitang,research
30_wiki\cases\case-yitang-poker-parameterized-practice.md	yitang,personal-growth
30_wiki\cases\case-yitang-redburger-selection-industrialization.md	yitang,growth,operations
30_wiki\cases\case-yitang-sales-routine-deconstruction.md	yitang,personal-growth,sales
30_wiki\cases\case-yitang-sales-transformation-jubensha-saas.md	yitang,ai-saas,business-strategy
30_wiki\cases\case-yitang-sales-transformation-meirongyuan.md	yitang,business-strategy,entrepreneur
30_wiki\cases\case-yitang-sales-transformation-tuliaogongsi.md	business-strategy,entrepreneur,yitang
30_wiki\cases\case-yitang-sanjieke-benchmark-failure.md	yitang,research
30_wiki\cases\case-yitang-scientific-naming-process.md	yitang,decision-science
30_wiki\cases\case-yitang-senior-university-product-design.md	yitang,research
30_wiki\cases\case-yitang-shao-kaoyan-gmv.md	yitang,business-formula
30_wiki\cases\case-yitang-shipinhao-ads-l1-l6.md	yitang,business-formula
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-1-subjective-speculation.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-10-over-abstraction.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-2-ignore-facts.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-3-overgeneralization.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-4-no-quantification.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-5-over-prediction.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-6-deny-patterns.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-7-underestimate-patterns.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-8-wrong-analogy.md	yitang,decision-science
30_wiki\cases\case-yitang-shishi-qiushi-pitfall-9-methodology-superstition.md	yitang,decision-science
30_wiki\cases\case-yitang-shuzu-channel-scan-test.md	yitang,growth,b2b,fintech
30_wiki\cases\case-yitang-ski-project-user-as-expert.md	yitang,research
30_wiki\cases\case-yitang-smart-microphone-color.md	yitang,decision-science
30_wiki\cases\case-yitang-solid-redbull-channel.md	yitang,growth
30_wiki\cases\case-yitang-subtraction-decisions-three.md	yitang,business-strategy
30_wiki\cases\case-yitang-supplier-security-guard.md	yitang,research
30_wiki\cases\case-yitang-three-industry-formula-demos.md	yitang,business-formula
30_wiki\cases\case-yitang-tob-devboard-price-coupling.md	yitang,business-strategy,ai-saas
30_wiki\cases\case-yitang-topcity-growth-flywheel.md	yitang,growth,strategy
30_wiki\cases\case-yitang-track-selection-research.md	yitang,research
30_wiki\cases\case-yitang-travel-receipt-analysis.md	yitang,research
30_wiki\cases\case-yitang-truman-time-management-transformation.md	yitang,personal-os
30_wiki\cases\case-yitang-vicky-short-video.md	yitang,business-formula
30_wiki\cases\case-yitang-voice-robot-companion-design.md	yitang,research
30_wiki\cases\case-yitang-wang-mcn-funnel.md	yitang,business-formula
30_wiki\cases\case-yitang-waste-recycling-subjective-failure.md	yitang,decision-science
30_wiki\cases\case-yitang-wechat-monthly-price-value.md	yitang,business-strategy
30_wiki\cases\case-yitang-wenxiaozhang-driving-school.md	yitang,business-formula
30_wiki\cases\case-yitang-womenswear-formula-three-versions.md	yitang,business-strategy
30_wiki\cases\case-yitang-woqingke-referral-15-to-40.md	yitang,business-formula
30_wiki\cases\case-yitang-xiaohuangdog-recycling-cabinet.md	yitang,decision-science
30_wiki\cases\case-yitang-xiezefeng-clothing-innovation-param.md	yitang,business-strategy
30_wiki\cases\case-yitang-xingangwan-chess-room.md	yitang,business-formula
30_wiki\cases\case-yitang-xujian-invoice-saas-channel.md	yitang,growth,b2b,saas
30_wiki\cases\case-yitang-yai-conversion-rate-visit-rate.md	yitang,ai-collaboration,business-formula
30_wiki\cases\case-yitang-yai-scientific-decision-life-direction.md	yitang,decision-science,ai-collaboration
30_wiki\cases\case-yitang-yewenbin-archery-business-formula.md	yitang,business-strategy
30_wiki\cases\case-yitang-yitang-course-industrialization.md	yitang,growth,operations
30_wiki\cases\case-yitang-yitang-self-growth-channel.md	yitang,growth
30_wiki\cases\case-yitang-yitang-shortvideo-industrialization.md	yitang,growth,content-operations
30_wiki\cases\case-yitang-yitu-lead-industrialization.md	yitang,growth,b2b
30_wiki\cases\case-yitang-zhanglei-comic-booth.md	yitang,business-formula
30_wiki\cases\case-yitang-zhanglei-gacha-points.md	yitang,business-formula
30_wiki\cases\case-yitang-zhongzheng-parking-garage.md	yitang,product-kernel
30_wiki\cases\case-zhanglan-amusement-park-undercover.md	yitang,research
30_wiki\cases\case-zhanglei-furniture-overseas-market-selection.md	yitang,research
30_wiki\cases\case-zhanglei-nursing-home-family.md	yitang,research
30_wiki\cases\case-zhanglei-twist-egg-machine-yogurt-nursing.md	yitang,research
30_wiki\cases\case-一堂-A加社失败归因→一堂诞生.md	personal,yitang,business-strategy
30_wiki\cases\case-一堂-一堂自身转化实践.md	yitang,conversion-rate
30_wiki\cases\case-一堂-优秀案例逐字稿合集.md	yitang,conversion-rate
30_wiki\cases\case-一堂-优秀触点案例合集.md	yitang,conversion-rate
30_wiki\cases\case-一堂-优秀转化率复盘合集.md	yitang,conversion-rate
30_wiki\cases\case-一堂-作业率20到50.md	yitang,conversion-rate
30_wiki\cases\case-一堂-入职率50到80-100.md	yitang,conversion-rate
30_wiki\cases\case-一堂-全会员出圈率1.5翻倍.md	yitang,conversion-rate
30_wiki\cases\case-一堂-六杯奶茶推荐率近100.md	yitang,conversion-rate
30_wiki\cases\case-一堂-动力篇案例库.md	yitang,conversion-rate
30_wiki\cases\case-一堂-基本功-认知篇案例集.md	management,yitang
30_wiki\cases\case-一堂-小米发布会拆解.md	yitang,conversion-rate
30_wiki\cases\case-一堂-我请客推荐率5到40.md	yitang,conversion-rate
30_wiki\cases\case-一堂-教材品控事故.md	personal,yitang,management
30_wiki\cases\case-一堂-教研加微信率40到100.md	yitang,conversion-rate
30_wiki\cases\case-一堂-无人餐厅-hypothesis-failure.md	yitang,business-strategy
30_wiki\cases\case-一堂-春萍-刘伟tob销售标准化.md	management,yitang
30_wiki\cases\case-一堂-春萍-温校长校园代理.md	management,yitang
30_wiki\cases\case-一堂-春萍-花总AI研发.md	management,yitang
30_wiki\cases\case-一堂-晓莉学而思引流课.md	yitang,conversion-rate
30_wiki\cases\case-一堂-棋牌室办卡率1到5.md	yitang,conversion-rate
30_wiki\cases\case-一堂-组合篇案例库.md	yitang,conversion-rate
30_wiki\cases\case-一堂-视频号加微信率44到85.md	yitang,conversion-rate
30_wiki\cases\case-一堂-触点篇案例库.md	yitang,conversion-rate
30_wiki\cases\case-一堂-跆拳道黑带卡.md	yitang,conversion-rate
30_wiki\cases\case-一堂-迷你访谈五周迭代.md	personal,yitang
30_wiki\cases\case-一堂-邹韵涛-中小企业高级管理辅导班专题培训会.md	yitang,conversion-rate
30_wiki\cases\case-一堂-阻力篇案例库.md	yitang,conversion-rate
30_wiki\cases\case-婚礼操盘-用户和场景.md	yitang,decision-science
30_wiki\cases\case-婚礼规划.md	yitang,decision-science
30_wiki\cases\case-科学决策-L4案例01.md	yitang,decision-science
30_wiki\cases\case-科学决策-ROI案例01.md	yitang,decision-science
30_wiki\cases\case-科学决策-ROI案例02.md	yitang,decision-science
30_wiki\cases\case-科学决策-ROI案例03.md	yitang,decision-science
30_wiki\cases\case-科学决策-ROI案例04.md	yitang,decision-science
30_wiki\cases\case-科学决策-深度案例01.md	yitang,decision-science
30_wiki\cases\case-科学决策-深度案例02.md	yitang,decision-science
30_wiki\cases\case-科学决策-深度案例03.md	yitang,decision-science
30_wiki\cases\case-科学决策-深度案例04.md	yitang,decision-science
30_wiki\cases\case-科学决策-深度案例05.md	yitang,decision-science
30_wiki\cases\case-科学决策-深度案例06.md	yitang,decision-science
30_wiki\cases\case-莹莹-before-after复盘.md	personal,yitang
30_wiki\concepts\ai-tool-learning-curve.md	ai,learning-methodology,yitang
30_wiki\concepts\ai-俱乐部人和-ai-协作-五层结构.md	management,ai-saas,design,yitang,decision-making
30_wiki\concepts\ai-俱乐部人和-ai-协作-参考案例对比一堂-vs-sql-helper.md	management,product,business-strategy,ai-saas,yitang
30_wiki\concepts\challenge-point-design.md	learning-methodology,personal-growth,yitang
30_wiki\concepts\completion-criteria-design.md	learning-methodology,personal-growth,yitang
30_wiki\concepts\concept-AI时代双三角竞争力.md	yitang,decision-science
30_wiki\concepts\concept-X型Y型决策习惯.md	yitang,decision-science
30_wiki\concepts\concept-candy-ai-as-collaborator.md	yitang,content-production,ai-collaboration
30_wiki\concepts\concept-ceo-must-do-user-research.md	yitang,research
30_wiki\concepts\concept-feishu-api-pagination-trap.md	feishu,content-extraction,publishing,yitang
30_wiki\concepts\concept-harness-cattle-not-pets.md	yitang,ai-collaboration
30_wiki\concepts\concept-harness-scoring-anchors.md	yitang,ai-collaboration
30_wiki\concepts\concept-mcp-protocol.md	yitang,research,ai-collaboration
30_wiki\concepts\concept-open-a-document.md	research,yitang
30_wiki\concepts\concept-research-delegation-in-scaling.md	yitang,research
30_wiki\concepts\concept-research-responsibility-boundary.md	yitang,research
30_wiki\concepts\concept-research-saturation-coverage.md	research,yitang
30_wiki\concepts\concept-yihang-ai-feature-thinking.md	ai-collaboration,yitang
30_wiki\concepts\concept-yihang-data-pack-ethics.md	ai-collaboration,yitang
30_wiki\concepts\concept-yihang-dual-triangle-core.md	yitang,ai-collaboration,personal-os,organizational-transformation
30_wiki\concepts\concept-yihang-human-in-the-loop-dual-triangle.md	yitang,ai-collaboration
30_wiki\concepts\concept-yihang-methodology-production-pipeline.md	ai-collaboration,yitang
30_wiki\concepts\concept-yihang-research-driven-company.md	ai-collaboration,yitang
30_wiki\concepts\concept-yitang-ai-research-10-assumptions.md	yitang,research,ai-collaboration
30_wiki\concepts\concept-yitang-ai-research-human-loop.md	yitang,research,ai-collaboration
30_wiki\concepts\concept-yitang-channel-lean-validation-bridge.md	yitang,growth,lean-startup
30_wiki\concepts\concept-yitang-comfort-stretch-panic-zones.md	yitang,personal-growth
30_wiki\concepts\concept-yitang-facts-first.md	yitang,research
30_wiki\concepts\concept-yitang-ideal-research-goal.md	yitang,research
30_wiki\concepts\concept-yitang-model-system-boundary.md	yitang,decision-science,methodology
30_wiki\concepts\concept-yitang-research-aesthetic.md	yitang,research
30_wiki\concepts\concept-yitang-research-facts-first.md	yitang,research
30_wiki\concepts\concept-yitang-research-mindset.md	yitang,research
30_wiki\concepts\concept-yitang-research-objective.md	yitang,research
30_wiki\concepts\concept-yitang-research-scope.md	yitang,research
30_wiki\concepts\concept-一堂-AI时代基本功变与不变.md	management,yitang,ai-collaboration
30_wiki\concepts\concept-一堂-Agent基本功修炼.md	management,yitang,ai-collaboration
30_wiki\concepts\concept-一堂-business-prediction.md	product,yitang,entrepreneurship
30_wiki\concepts\concept-一堂-kernel-iteration.md	product,yitang
30_wiki\concepts\concept-一堂-kernel-validation.md	product,yitang
30_wiki\concepts\concept-一堂-key-assumptions.md	yitang,key-assumptions
30_wiki\concepts\concept-一堂-三类目标策略.md	yitang,business-formula
30_wiki\concepts\concept-一堂-假设飞轮.md	yitang,business-formula
30_wiki\concepts\concept-一堂-关键路径与乘法杠杆.md	yitang,business-formula
30_wiki\concepts\concept-一堂-参数即假设与递归嵌套.md	yitang,business-formula
30_wiki\concepts\concept-一堂-参数耦合与动态公式.md	yitang,business-formula
30_wiki\concepts\concept-一堂-双目标法.md	yitang,business-formula
30_wiki\concepts\concept-一堂-基本功-刻意练习四要素.md	management,yitang
30_wiki\concepts\concept-一堂-基本功-段位体系.md	management,yitang
30_wiki\concepts\concept-一堂-基本功定义.md	management,yitang
30_wiki\concepts\concept-一堂-相关不等于因果.md	yitang,business-formula
30_wiki\concepts\concept-一堂-终局光谱图解读.md	yitang,opportunity-foresight
30_wiki\concepts\concept-一堂-脱离成本.md	yitang,business-formula
30_wiki\concepts\concept-一堂-魔法数字.md	yitang,business-formula
30_wiki\concepts\concept-一堂-黑盒到白盒.md	yitang,business-formula
30_wiki\concepts\concept-两种典型思考习惯.md	yitang,decision-science
30_wiki\concepts\concept-单元模型-学练用.md	yitang,decision-science
30_wiki\concepts\concept-发现决策.md	yitang,decision-science
30_wiki\concepts\concept-多视角思考.md	yitang,decision-science
30_wiki\concepts\concept-峰终定律.md	yitang,decision-science
30_wiki\concepts\concept-思考深度分级.md	yitang,decision-science
30_wiki\concepts\concept-惊喜公式.md	yitang,decision-science
30_wiki\concepts\concept-最佳实践建模.md	yitang,decision-science
30_wiki\concepts\concept-科学决策宽度.md	yitang,decision-science
30_wiki\concepts\concept-稀缺机会窗口.md	yitang,decision-science
30_wiki\concepts\concept-美好作品想象.md	yitang,decision-science
30_wiki\concepts\concept-讲香-卖点直给到价值感.md	yitang,personal-expression,卖点直给,价值感,讲香价值
30_wiki\concepts\deliberate-practice-four-elements.md	learning-methodology,personal-growth,yitang
30_wiki\concepts\four-questions-feedback.md	learning-methodology,personal-growth,yitang
30_wiki\concepts\modeling-capability-system.md	modeling,yitang
30_wiki\concepts\productization-judgment.md	product,ai,yitang
30_wiki\concepts\truman-perspective-skill.md	ai-collaboration,yitang
30_wiki\concepts\voice-input-doubao.md	ai-collaboration,product,ai-saas,decision-making,yitang
30_wiki\concepts\yai-counsel-role.md	consulting,yitang,personal-growth,learning-methodology
30_wiki\concepts\yai-tcp-teacher-role.md	consulting,yitang,personal-growth,learning-methodology
30_wiki\concepts\yitang-methodology-system.md	yitang,methodology
30_wiki\concepts\yt-business-formula-l6-essence-formulas.md	yitang,master,business-strategy
30_wiki\concepts\yt-business-formula-parameter-iceberg.md	yitang,business-formula
30_wiki\concepts\yt-business-formula-six-level-logic.md	yitang,business-formula
30_wiki\concepts\yt-business-formula-ten-paradigms.md	yitang,business-formula
30_wiki\concepts\yt-decision-y-model.md	epistemic-foundations,decision-science,yitang
30_wiki\concepts\yt-management-basic-skills.md	management,yitang
30_wiki\concepts\yt-management-project-management.md	yitang,management
30_wiki\concepts\yt-management-scientific-meetings.md	yitang,management
30_wiki\concepts\yt-model-pan-product-36-strategies.md	yitang,pan-product
30_wiki\concepts\yt-model-pan-product-demand-toolkit.md	yitang,pan-product
30_wiki\concepts\yt-personal-time-management.md	yitang,time-management
30_wiki\concepts\yt-research-competitor-toolkit.md	yitang,research
30_wiki\concepts\yt-research-expert-interview.md	yitang,research
30_wiki\concepts\yt-research-hypothesis-test.md	yitang,research
30_wiki\concepts\yt-research-industry-canvas.md	yitang,research
